id,name,dob,batting_hand,bowling_skill,country,is_umpire
397,SA Abbott,1992-02-29,Right_Hand,Right-arm fast-medium,New Zealand,false
398,J Suchith,1994-01-16,Left_Hand,Slow left-arm orthodox,India,false
399,RG More,1992-02-02,Right_Hand,Right-arm medium,India,false
400,HH Pandya,1993-10-11,Right_Hand,Right-arm medium-fast,India,false
401,D Wiese,1985-05-18,Right_Hand,Right-arm medium-fast,South Africa,false
402,SN Khan,1997-10-27,Right_Hand,Legbreak,India,false
403,MJ McClenaghan,1986-06-11,Left_Hand,Left-arm fast-medium,New Zealand,false
404,DJ Muthuswami,1981-03-09,Right_Hand,Right-arm medium,India,false
405,PJ Cummins,1993-05-08,Right_Hand,Right-arm fast,Australia,false
406,SN Thakur,1991-10-16,Right_Hand,Right-arm medium,India,false
408,CR Brathwaite,1988-07-18,Right_Hand,Right-arm fast-medium,West Indies,false
409,MP Stoinis,1989-08-16,Right_Hand,Right-arm medium,Australia,false
411,C Munro,1987-03-11,Left_Hand,Right-arm medium-fast,New Zealand,false
412,P Sahu,1985-08-21,Right_Hand,Legbreak googly,India,false
413,KH Pandya,1991-03-24,Left_Hand,Slow left-arm orthodox,India,false
414,AD Nath,1993-05-10,Right_Hand,Right-arm medium-fast,India,false
415,MJ Guptill,1986-09-30,Right_Hand,Right-arm offbreak,New Zealand,false
416,KJ Abbott,1987-06-18,Right_Hand,Right-arm fast-medium,South Africa,false
417,TM Head,1993-12-29,Left_Hand,Right-arm offbreak,Australia,false
418,M Ashwin,1990-09-08,Right_Hand,Legbreak googly,India,false
422,KC Cariappa,1994-04-13,Right_Hand,Legbreak,India,false
424,Swapnil Singh,1991-01-22,Right_Hand,Slow left-arm orthodox,India,false
425,J Yadav,1990-01-22,Right_Hand,Right-arm offbreak,India,false
426,UT Khawaja,1986-12-18,Left_Hand,Right-arm medium,Australia,false
427,HM Amla,1983-03-31,Right_Hand,Right-arm offbreak,South Africa,false
428,F Behardien,1983-10-09,Right_Hand,Right-arm fast-medium,South Africa,false
429,BB Sran,1992-12-10,Left_Hand,Left-arm medium,India,false
430,A Zampa,1992-03-31,Right_Hand,Legbreak googly,Australia,false
431,N Rana,1993-12-27,Left_Hand,Right-arm offbreak,India,false
432,S Kaushik,1995-09-07,Right_Hand,Slow left-arm chinaman,India,false
434,CJ Jordan,1988-10-04,Right_Hand,Right-arm fast-medium,England,false
435,P Amarnath,1982-06-01,Right_Hand,Right-arm medium,India,false
436,B Geeves,1982-06-13,Right_Hand,Right-arm fast-medium,Australia,false
437,Gagandeep Singh,1981-10-03,Right_Hand,Right-arm medium-fast,India,false
438,A Nel,1977-07-15,Right_Hand,Right-arm fast-medium,South Africa,false
439,AM Salvi,1981-10-20,Right_Hand,Right-arm medium,India,false
440,RR Bose,1979-02-27,Right_Hand,Right-arm fast-medium,India,false
441,SS Sarkar,1984-12-15,Right_Hand,Right-arm medium,India,false
442,RA Shaikh,1985-06-12,Left_Hand,Left-arm medium,India,false
443,C Ganapathy,1981-06-10,Right_Hand,Right-arm medium,India,false
444,MB Parmar,1988-04-12,Right_Hand,Right-arm offbreak,India,false
445,AA Kazi,1989-09-29,Left_Hand,Slow left-arm orthodox,India,false
446,Anand Rajan,1987-04-17,Right_Hand,Right-arm medium,India,false
447,P Prasanth,1985-05-22,Left_Hand,Slow left-arm orthodox,India,false
448,SS Mundhe,1988-10-27,Right_Hand,Right-arm medium,India,false
449,RW Price,1976-06-12,Right_Hand,Slow left-arm orthodox,Zimbabwea,false
450,TP Sudhindra,1984-04-24,Left_Hand,Right-arm fast,India,false
451,BW Hilfenhaus,1983-03-15,Right_Hand,Right-arm fast-medium,Australia,false
452,S Badree,1981-03-09,Right_Hand,Legbreak,West Indies,false
453,P Suyal,1989-10-15,Right_Hand,Left-arm medium,India,false
454,MG Neser,1990-03-29,Right_Hand,Right-arm medium,Australia,false
455,V Shankar,1991-01-26,Right_Hand,Right-arm medium,India,false
456,K Santokie,1984-12-20,Left_Hand,Left-arm medium,West Indies,false
457,JW Hastings,1985-11-04,Right_Hand,Right-arm fast-medium,Australia,false
458,TA Boult,1989-07-22,Right_Hand,Left-arm fast-medium,New Zealand,false
459,GS Sandhu,1993-06-14,Left_Hand,Right-arm fast-medium,Australia,false
460,Mustafizur Rahman,1995-09-06,Left_Hand,Left-arm fast-medium,Bangladesh,false
461,AF Milne,1992-04-13,Right_Hand,Right-arm fast,New Zealand,false
462,Kuldeep Yadav,1994-12-14,Left_Hand,Slow left-arm chinaman,India,false
463,T Shamsi,1990-02-18,Right_Hand,Slow left-arm chinaman,South Africa,false
464,SM Boland,1989-04-11,Right_Hand,Right-arm fast-medium,Australia,false
465,DL Chahar,1992-08-07,Right_Hand,Right-arm medium,India,false
467,RV Pawar,1979-09-06,Left_Hand,Slow left-arm orthodox,India,false
469,T Mishra,1986-12-22,Right_Hand,Right-arm fast-medium,India,false
524,B Aparajith,1994-07-08,Right_Hand,Right-arm offbreak,India,false
17,PA Patel,1985-03-09,Left_Hand,,India,false
36,M Rawat,1985-10-25,Right_Hand,,India,false
43,L Ronchi,1981-04-23,Right_Hand,,Australia,false
47,PR Shah,1987-11-03,Right_Hand,,India,false
62,WP Saha,1984-10-24,Right_Hand,,India,false
69,Kamran Akmal,1982-01-13,Right_Hand,,Pakistan,false
79,SS Tiwary,1989-12-30,Left_Hand,,India,false
88,KD Karthik,1985-06-01,Right_Hand,,India,false
107,SP Fleming,1973-04-01,Left_Hand,,New Zealand,false
114,YV Takawale,1984-11-05,Right_Hand,,India,false
123,DT Patil,1984-12-06,Right_Hand,,India,false
125,S Anirudha,1987-04-14,Right_Hand,,India,false
132,SP Goswami,1989-05-18,Left_Hand,,India,false
134,U Kaul,1987-12-02,Left_Hand,,India,false
138,NK Patel,1981-03-26,Left_Hand,,India,false
146,H Das,1986-12-10,Right_Hand,,India,false
207,AP Tare,1987-11-07,Right_Hand,,India,false
214,MS Bisla,1984-12-27,Right_Hand,,India,false
251,C Madan,1982-10-15,Right_Hand,,India,false
252,AG Paunikar,1988-04-18,Right_Hand,,India,false
260,MA Agarwal,1991-02-16,Right_Hand,,India,false
277,DH Yagnik,1983-06-22,Left_Hand,,India,false
279,BJ Haddin,1977-10-23,Right_Hand,,Australia,false
288,M Klinger,1980-07-04,Right_Hand,,Australia,false
319,N Saini,1988-10-28,Right_Hand,,India,false
327,BB Samantray,1988-12-14,Right_Hand,,India,false
341,MDKJ Perera,1990-08-17,Left_Hand,,Sri Lanka,false
351,SV Samson,1994-11-11,Right_Hand,,India,false
353,BJ Rohrer,1981-03-26,Left_Hand,,Australia,false
354,KL Rahul,1992-04-18,Right_Hand,,India,false
355,Q de Kock,1992-12-17,Left_Hand,,South Africa,false
360,CM Gautam,1986-03-08,Right_Hand,,India,false
379,BR Dunk,1987-03-11,Left_Hand,,Australia,false
407,JC Buttler,1990-09-08,Right_Hand,,England,false
410,Ishan Kishan,1998-07-18,Left_Hand,,India,false
419,NS Naik,1994-11-09,Right_Hand,,India,false
420,RR Pant,1997-10-04,Left_Hand,,India,false
421,SW Billings,1991-06-15,Right_Hand,,England,false
423,PSP Handscomb,1991-04-26,Right_Hand,,Australia,false
433,ER Dwivedi,1988-07-22,Right_Hand,,India,false
466,P Dharmani,1974-09-27,Right_Hand,,India,false
468,KH Devdhar,1989-12-14,Right_Hand,,India,false
523,AV Wankhade,1992-03-14,Right_Hand,,India,false
470,Asad Rauf,,,,Pakistan,true
471,MR Benson,,,,England,true
472,Aleem Dar,,,,Pakistan,true
473,SJ Davis,,,,England,true
474,BF Bowden,,,,New Zealand,true
475,IL Howell,,,,South Africa,true
476,DJ Harper,,,,Australia,true
477,RE Koertzen,,,,South Africa,true
478,BR Doctrove,,,,West Indies,true
479,AV Jayaprakash,,,,India,true
480,BG Jerling,,,,South Africa,true
481,M Erasmus,,,,South Africa,true
482,HDPK Dharmasena,,,,Sri Lanka,true
483,S Asnani,,,,India,true
484,GAV Baxter,,,,New Zealand,true
485,SS Hazare,,,,India,true
486,K Hariharan,,,,India,true
487,SL Shastri,,,,India,true
488,SK Tarapore,,,,India,true
489,S Ravi,,,,India,true
490,SJA Taufel,,,,Australia,true
491,S Das,,,,India,true
492,AM Saheba,,,,India,true
493,PR Reiffel,,,,Australia,true
494,JD Cloete,,,,South Africa,true
495,AK Chaudhary,,,,India,true
496,VA Kulkarni,,,,India,true
497,BNJ Oxenford,,,,Australia,true
498,CK Nandan,,,,India,true
499,C Shamshuddin,,,,India,true
500,NJ Llong,,,,England,true
501,RK Illingworth,,,,England,true
502,RM Deshpande,,,,India,true
503,K Srinath,,,,India,true
504,SD Fry,,,,Australia,true
505,CB Gaffaney,,,,New Zealand,true
506,PG Pathak,,,,India,true
507,Nitin Menon,,,,India,true
508,K Bharatan,,,,India,true
509,AY Dandekar,,,,India,true
510,KN Ananthapadmanabhan,,,,India,true
511,A Nand Kishore,,,,India,true
512,GA Pratapkumar,,,,India,true
513,RB Tiffin,,,,Zimbabwea,true
514,I Shivram,,,,India,true
515,SD Ranade,,,,India,true
516,TH Wijewardene,,,,Sri Lanka,true
517,AL Hill,,,,New Zealand,true
518,RJ Tucker,,,,Australia,true
519,Subroto Das,,,,India,true
520,K Srinivasan,,,,India,true
521,VK Sharma,,,,India,true
